run_id,provisional_run_id,method,framework_config,seed,attack_strength,diversity_level,analysis_tier,is_dry_test,graph_nodes,false_campaign_alert_indicator,false_campaign_cluster_count,benign_vehicles_included,extra_cluster_count,incorrect_merging,fragmentation,false_campaign_alert_rate,campaign_precision,campaign_recall,campaign_f1,campaign_membership_precision,campaign_membership_recall,n_detected_campaign_clusters,n_ground_truth_campaigns,coordinated_events,expect_campaign,metric_name,within_model_attack_similarity,cross_model_attack_similarity,campaign_similarity,benign_cross_model_similarity,malicious_minus_benign_cross_sim,cross_model_edges,same_model_edges,cross_model_edge_percentage,feature_columns,cross_model_malicious_edges,cross_model_benign_edges,malicious_cross_model_edge_purity,benign_cross_model_false_edge_rate,connected_components,platforms_in_predicted_campaign,connected_platform_count,graph_connected_across_platforms,campaign_metrics_na
tuned_final_md_strong_d1_fcgnn_seed101_20260612T104637,final_md_strong_d1_fcgnn_seed101_20260612T104637,fcgnn,C3,101,strong,1,controlled_same_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,41,True,cosine_similarity_l2_normalized,0.9991053155254288,,0.9959703357823221,-0.1261219973547104,,1,625,0.1597444089456869,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|most_common_can_id_ratio,0,1,0.0,1.0,17,0,0,True,False
tuned_final_md_strong_d1_fcgnn_seed11_20260612T104605,final_md_strong_d1_fcgnn_seed11_20260612T104605,fcgnn,C3,11,strong,1,controlled_same_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.8,1,1,20,True,cosine_similarity_l2_normalized,0.9985261255507832,,0.99293401370783,-0.10774983505704698,,0,650,0.0,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|most_common_can_id_ratio,0,0,,,17,0,0,True,False
tuned_final_md_strong_d1_fcgnn_seed23_20260612T104609,final_md_strong_d1_fcgnn_seed23_20260612T104609,fcgnn,C3,23,strong,1,controlled_same_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6,1,1,15,True,cosine_similarity_l2_normalized,0.9888932170247627,,0.9670073654378364,-0.0901361469071767,,5,575,0.8620689655172413,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|most_common_can_id_ratio,0,5,0.0,1.0,19,0,0,True,False
tuned_final_md_strong_d1_fcgnn_seed37_20260612T104612,final_md_strong_d1_fcgnn_seed37_20260612T104612,fcgnn,C3,37,strong,1,controlled_same_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,48,True,cosine_similarity_l2_normalized,0.9997550880046151,,0.9997471938725715,-0.04803839794368314,,6,633,0.9389671361502347,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|most_common_can_id_ratio,0,6,0.0,1.0,20,0,0,True,False
tuned_final_md_strong_d1_fcgnn_seed41_20260612T104616,final_md_strong_d1_fcgnn_seed41_20260612T104616,fcgnn,C3,41,strong,1,controlled_same_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,23,True,cosine_similarity_l2_normalized,0.9988547156886042,,0.9941002890491595,-0.13633522106033613,,12,627,1.8779342723004695,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|most_common_can_id_ratio,0,12,0.0,1.0,14,0,0,True,False
tuned_final_md_strong_d1_fcgnn_seed53_20260612T104619,final_md_strong_d1_fcgnn_seed53_20260612T104619,fcgnn,C3,53,strong,1,controlled_same_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,44,True,cosine_similarity_l2_normalized,0.9999404261388031,,0.9980971692183722,-0.09350737477187104,,0,664,0.0,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|most_common_can_id_ratio,0,0,,,18,0,0,True,False
tuned_final_md_strong_d1_fcgnn_seed67_20260612T104623,final_md_strong_d1_fcgnn_seed67_20260612T104623,fcgnn,C3,67,strong,1,controlled_same_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,48,True,cosine_similarity_l2_normalized,0.9995444786299473,,0.9995474234484415,-0.06656333507506976,,4,604,0.6578947368421053,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|most_common_can_id_ratio,0,4,0.0,1.0,14,0,0,True,False
tuned_final_md_strong_d1_fcgnn_seed71_20260612T104626,final_md_strong_d1_fcgnn_seed71_20260612T104626,fcgnn,C3,71,strong,1,controlled_same_attack,False,200,0,1,0,1,0,1,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,2,1,31,True,cosine_similarity_l2_normalized,0.9779041332005759,,0.86381776714101,-0.08374967657996628,,3,516,0.5780346820809249,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|most_common_can_id_ratio,0,3,0.0,1.0,19,0,0,True,False
tuned_final_md_strong_d1_fcgnn_seed83_20260612T104630,final_md_strong_d1_fcgnn_seed83_20260612T104630,fcgnn,C3,83,strong,1,controlled_same_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.8,1,1,36,True,cosine_similarity_l2_normalized,0.9906414996900317,,0.966675252070559,-0.05107004582466562,,1,693,0.1440922190201729,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|most_common_can_id_ratio,0,1,0.0,1.0,21,0,0,True,False
tuned_final_md_strong_d1_fcgnn_seed97_20260612T104633,final_md_strong_d1_fcgnn_seed97_20260612T104633,fcgnn,C3,97,strong,1,controlled_same_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,44,True,cosine_similarity_l2_normalized,0.9998927761071182,,0.9999352990608342,-0.12186675812366608,,0,654,0.0,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|can_id_entropy|most_common_can_id_ratio,0,0,,,14,0,0,True,False
tuned_final_md_strong_d1_local_ids_seed101_20260612T104635,final_md_strong_d1_local_ids_seed101_20260612T104635,local_ids,C1,101,strong,1,controlled_same_attack,False,200,0,0,0,0,0,0,,,,,0.0,0.0,0,1,0,True,cosine_similarity_l2_normalized,0.9991053155254288,,0.9959703357823221,-0.1261219973547104,,0,0,0.0,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|most_common_can_id_ratio,0,0,,,0,0,0,True,True
tuned_final_md_strong_d1_local_ids_seed11_20260612T104603,final_md_strong_d1_local_ids_seed11_20260612T104603,local_ids,C1,11,strong,1,controlled_same_attack,False,200,0,0,0,0,0,0,,,,,0.0,0.0,0,1,0,True,cosine_similarity_l2_normalized,0.9985261255507832,,0.99293401370783,-0.10774983505704698,,0,0,0.0,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|most_common_can_id_ratio,0,0,,,0,0,0,True,True
tuned_final_md_strong_d1_local_ids_seed23_20260612T104607,final_md_strong_d1_local_ids_seed23_20260612T104607,local_ids,C1,23,strong,1,controlled_same_attack,False,200,0,0,0,0,0,0,,,,,0.0,0.0,0,1,0,True,cosine_similarity_l2_normalized,0.9888932170247627,,0.9670073654378364,-0.0901361469071767,,0,0,0.0,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|most_common_can_id_ratio,0,0,,,0,0,0,True,True
